TagName	TagIndex	TagType	TagDataType
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\CHOKE_TAGS\CV1001ChokeValveStop	45	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\CHOKE_TAGS\CV1001ChokeValvePositionSetpoint	46	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\CHARGE_PUMP_TAGS\D1002ChargePumpMotorStop	47	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\FT2001LL_AlarmSetpoint	48	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1001H_AlarmSetpoint	49	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1002H_AlarmSetpoint	50	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1003H_AlarmSetpoint	51	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS1004HH_AlarmSetpoint	52	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LS2001L_AlarmSetpoint	53	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LT1001L_AlarmSetpoint	54	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\LT1001LL_AlarmSetpoint	55	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1001L_AlarmSetpoint	56	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1001LL_AlarmSetpoint	57	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1002HH_AlarmSetpoint	58	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT1003HH_AlarmSetpoint	59	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT2001HH_AlarmSetpoint	60	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT2002L_AlarmSetpoint	61	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\PT2002LL_AlarmSetpoint	62	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\TT1001H_AlarmSetpoint	63	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\TT1001HH_AlarmSetpoint	64	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\TT2001H_AlarmSetpoint	65	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\ALARM_TAGS\TT2001HH_AlarmSetpoint	66	2	1
